task_number,code_fix_count,code_syntax_status,obj_expected,obj_given,obj_status,sum_prompt_tokens,sum_completion_tokens,sum_prompt_tokens_price,sum_completion_tokens_price,sum_price
1,0,True,78.64,78.6376025,True,671,308,0.00010065,0.0001848,0.00028544999999999997
2,0,True,15.0,15.0,True,419,192,6.285e-05,0.0001152,0.00017805
3,0,True,12000.0,12000.0,True,649,304,9.735e-05,0.00018240000000000002,0.00027975
4,0,False,7.37,,False,630,343,9.45e-05,0.0002058,0.0003003
5,0,True,240.9,240.89999999999998,True,963,536,0.00014445,0.00032159999999999996,0.00046604999999999997
6,0,False,2.0,,False,533,296,7.995e-05,0.0001776,0.00025755
7,0,True,10305.11226,10305.112255,True,745,406,0.00011175,0.00024359999999999999,0.00035535
8,0,True,1000.0,1000.0,True,597,277,8.955e-05,0.0001662,0.00025575
9,0,True,20.0,20.0,True,549,205,8.235e-05,0.000123,0.00020535
10,0,True,4.0,4.0,True,613,269,9.195e-05,0.0001614,0.00025335
11,0,True,970.0,970.0,True,685,429,0.00010275,0.00025739999999999997,0.00036014999999999995
12,0,True,3800.0,3800.0,True,754,369,0.0001131,0.00022140000000000001,0.0003345
13,0,True,12000.0,12000.0,True,635,317,9.525e-05,0.0001902,0.00028544999999999997
14,0,False,3.0,,False,635,339,9.525e-05,0.0002034,0.00029865
15,0,True,9600.0,9600.0,True,691,429,0.00010364999999999999,0.00025739999999999997,0.00036104999999999997
16,0,True,1380.0,1380.0,True,663,350,9.945e-05,0.00021,0.00030945
17,0,True,35000.0,35000.0,True,726,405,0.00010889999999999999,0.000243,0.0003519
18,0,True,1256.0,1256.0,True,903,560,0.00013544999999999999,0.000336,0.00047145
